epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
23,0.8980087637901306,0.0005000000237487257,0.024209540337324142,0.8318014740943909,0.05018410459160805
24,0.8969287872314453,0.0005000000237487257,0.024413960054516792,0.7398896813392639,0.08039166033267975
25,0.906041145324707,0.0005000000237487257,0.021502910181879997,0.8336396813392639,0.04100506007671356
26,0.906041145324707,0.0005000000237487257,0.022499414160847664,0.740349292755127,0.1010388657450676
27,0.89584881067276,0.0005000000237487257,0.02428712695837021,0.6636029481887817,0.11279727518558502
28,0.8699291348457336,0.0005000000237487257,0.034893181174993515,0.26148897409439087,0.8741124868392944
29,0.9019237160682678,0.0005000000237487257,0.02287440001964569,0.7578125,0.09494887292385101
30,0.914883553981781,0.0005000000237487257,0.019366396591067314,0.7895220518112183,0.14936959743499756
0,0.678704023361206,0.0005000000237487257,0.09294877201318741,0.5818014740943909,0.19792714715003967
1,0.7400607466697693,0.0005000000237487257,0.06911644339561462,0.6695771813392639,0.12024129182100296
2,0.7596355080604553,0.0005000000237487257,0.06261555850505829,0.47242647409439087,0.48031672835350037
3,0.7736078500747681,0.0005000000237487257,0.05821392685174942,0.7017463445663452,0.09547629207372665
4,0.7871076464653015,0.0005000000237487257,0.05391252413392067,0.6884191036224365,0.0978856086730957
5,0.7918326258659363,0.0005000000237487257,0.05180909484624863,0.6511948704719543,0.22626344859600067
6,0.7987850308418274,0.0005000000237487257,0.049793630838394165,0.5785845518112183,0.3162492513656616
0,0.6563618183135986,0.0005000000237487257,0.10383983701467514,0.6475183963775635,0.12751226127147675
1,0.7077286243438721,0.0005000000237487257,0.07953803986310959,0.6355698704719543,0.17288124561309814
2,0.7177860140800476,0.0005000000237487257,0.074814572930336,0.671875,0.09977380931377411
3,0.7142085433006287,0.0005000000237487257,0.07518589496612549,0.5657169222831726,0.18758393824100494
4,0.7160985469818115,0.0005000000237487257,0.0754338726401329,0.5946691036224365,0.41385552287101746
5,0.7053661942481995,0.0005000000237487257,0.07940419018268585,0.5482536554336548,0.22390708327293396
0,0.6743165850639343,0.0005000000237487257,0.09377137571573257,0.5804228186607361,0.12330784648656845
1,0.7312183380126953,0.0005000000237487257,0.06989298015832901,0.5891544222831726,0.2342555969953537
2,0.7584205269813538,0.0005000000237487257,0.06299253553152084,0.685661792755127,0.14740735292434692
3,0.7713803648948669,0.0005000000237487257,0.058108385652303696,0.6930146813392639,0.0984027087688446
4,0.7898076176643372,0.0005000000237487257,0.05289927124977112,0.619025707244873,0.11382190883159637
5,0.7985150218009949,0.0005000000237487257,0.049178346991539,0.6332720518112183,0.12822173535823822
6,0.8037124276161194,0.0005000000237487257,0.04684850946068764,0.6884191036224365,0.09637793153524399
7,0.8093149065971375,0.0005000000237487257,0.04541884735226631,0.5804228186607361,0.18027465045452118
8,0.8178872466087341,0.0005000000237487257,0.043946314603090286,0.5744485259056091,0.12626048922538757
9,0.8144448399543762,0.0005000000237487257,0.04439321160316467,0.4756433963775635,0.46070030331611633
0,0.6761390566825867,0.0005000000237487257,0.09305796027183533,0.65625,0.09977573901414871
1,0.7329733371734619,0.0005000000237487257,0.07041830569505692,0.3547794222831726,0.24708299338817596
2,0.7592980265617371,0.0005000000237487257,0.0627249926328659,0.32536765933036804,0.475536972284317
3,0.7813027501106262,0.0005000000237487257,0.056922562420368195,0.6723345518112183,0.13288021087646484
0,0.7469456791877747,5.0000002374872565e-05,0.06544581800699234,0.7242646813392639,0.07283025979995728
1,0.7618629932403564,5.0000002374872565e-05,0.06104641407728195,0.7458639740943909,0.06273940205574036
2,0.7743503451347351,5.0000002374872565e-05,0.057430051267147064,0.7242646813392639,0.06789551675319672
3,0.7910901308059692,5.0000002374872565e-05,0.05289226025342941,0.6842830777168274,0.07863018661737442
4,0.8130273222923279,5.0000002374872565e-05,0.047357551753520966,0.7104779481887817,0.07164355367422104
0,0.6805264949798584,0.0005000000237487257,0.09156868606805801,0.6521139740943909,0.11762005090713501
1,0.7340533137321472,0.0005000000237487257,0.06937102973461151,0.6879595518112183,0.12259405851364136
2,0.757610559463501,0.0005000000237487257,0.06223898008465767,0.48943015933036804,0.24474862217903137
3,0.7787377834320068,0.0005000000237487257,0.056612804532051086,0.650275707244873,0.09587932378053665
4,0.7902801036834717,0.0005000000237487257,0.05310780555009842,0.693474292755127,0.1428753286600113
5,0.8032399415969849,0.0005000000237487257,0.04848845303058624,0.7136948704719543,0.2135443091392517
6,0.8124198317527771,0.0005000000237487257,0.0456094965338707,0.6548713445663452,0.16925671696662903
0,0.6793115139007568,0.0005000000237487257,0.09230849146842957,0.607536792755127,0.11233706027269363
1,0.7406682372093201,0.0005000000237487257,0.0684327632188797,0.6608455777168274,0.10877494513988495
